EnglishWord,WordType,Level,Translation,ExampleSentenceEn,ExampleSentenceTR
anticipate,verb,B2,beklemek,They anticipate a positive outcome.,Olumlu bir sonuç bekliyorlar.
anticipation,noun,B2,beklenti,The team waited in anticipation.,Takım heyecanla bekledi.
antipollution,noun,B2,kirlenme karşıtı,The city launched an antipollution campaign.,Şehir kirlilik karşıtı bir kampanya başlattı.
antique,adjective,B2,antik,She collects antique furniture.,Antika mobilyalar topluyor.
antique,noun,B1,antik,The shop sells antiques from various eras.,Mağaza çeşitli dönemlerden antikalar satıyor.
antistatic,adjective,B2,antistatik,He bought an antistatic bag for the computer.,Bilgisayar için antistatik bir çanta aldı.
antivirus,noun,B2,antivirüs,She installed an antivirus program.,Bir antivirüs programı yükledi.
antonym,noun,B1,zıt anlamlı,Hot is an antonym of cold.,Sıcak soğukun zıt anlamlısıdır.
anxiety,noun,B1,endişe,She felt anxiety before her presentation.,Sunumundan önce endişe hissetti.
anxious,adjective,A2,endişeli,He was anxious about the exam results.,Sınav sonuçları konusunda endişeliydi.
anxiously,adverb,B1,endişeyle,She waited anxiously for the call.,Çağrıyı endişeyle bekledi.
any,determiner,A1,herhangi,Do you have any questions?,Herhangi bir sorunuz var mı?
any,pronoun,A1,herhangi,Is there any left?,Hiç kaldı mı?
anybody,pronoun,A1,herhangi biri,Can anybody help with this problem?,Bu sorunla ilgili birisi yardım edebilir mi?
anyhow,adverb,B1,neyse,Anyhow lets move on to the next topic.,Her neyse bir sonraki konuya geçelim.
anymore,adverb,A2,artık değil,I dont go there anymore.,Artık oraya gitmiyorum.
anyone,pronoun,A1,herhangi biri,Does anyone know the answer?,Cevabı bilen var mı?
anything,pronoun,A1,herhangi bir şey,Ill do anything to help you.,Sana yardım etmek için her şeyi yaparım.
anyway,adverb,A2,neyse,Anyway lets get back to the main topic.,Her neyse ana konuya geri dönelim.
anywhere,adverb,A2,herhangi bir yer,You can find them anywhere.,Onları her yerde bulabilirsin.
apart,adverb,A2,ayrı,They moved apart after the argument.,Tartışmadan sonra ayrı düştüler.
apartment,noun,A2,apartman,She lives in an apartment downtown.,Şehir merkezinde bir dairede yaşıyor.
ape,noun,B1,maymun,The zoo has a large ape exhibit.,Hayvanat bahçesinde büyük bir maymun sergisi var.
apologize/apologise,verb,A2,özür dilemek,He had to apologize for the mistake.,Hatası için özür dilemek zorunda kaldı.
apology,noun,B1,özür,She offered a sincere apology.,İçten bir özür sundu.
apostrophe,noun,B2,kesme işareti,Use an apostrophe to show possession.,Sahipliği göstermek için apostrof kullanın.
apparent,adjective,B1,belirgin,It was apparent that she was tired.,Yorgun olduğu belliydi.
apparently,adverb,A2,görünüşe göre,Apparently he left early.,Görünüşe göre erken ayrıldı.
appeal,noun,B1,çekici,The movie has a broad appeal.,Film geniş bir çekiciliğe sahip.
appeal,verb,B2,çekici,They appealed for calm during the crisis.,Kriz sırasında sakinlik çağrısında bulundular.
appear,verb,A2,belli olmak,She appeared to be happy.,Mutlu görünüyordu.
appearance,noun,A2,dış görünüş,Her appearance changed over the years.,Görünüşü yıllar içinde değişti.
appetite,noun,B1,iştah,He lost his appetite when he got sick.,Hasta olduğunda iştahını kaybetti.
applaud,verb,B1,alkışlamak,The audience applauded after the performance.,Performanstan sonra izleyiciler alkışladı.
applause,noun,B1,alkış,The show ended with loud applause.,Gösteri büyük alkışlarla sona erdi.
apple,noun,A1,elma,I ate an apple as a snack.,Atıştırmalık olarak bir elma yedim.
applicant,noun,B2,başvuru sahibi,Each applicant must fill out a form.,Her başvuru sahibi bir form doldurmalıdır.
application,noun,B1,başvuru,She submitted her application last week.,Başvurusunu geçen hafta sundu.
apply,verb,A2,uygulamak,You need to apply for a passport.,Pasaport başvurusunda bulunmanız gerekiyor.
appoint,verb,B1,atamak,They will appoint a new manager soon.,Yakında yeni bir müdür atayacaklar.
appointment,noun,A2,randevu,I have an appointment with the doctor.,Doktorla bir randevum var.
appreciate,verb,A2,takdir etmek,I really appreciate your help.,Yardımınızı gerçekten takdir ediyorum.
appreciation,noun,B1,takdir,He showed appreciation for their support.,Destekleri için minnettarlığını gösterdi.
appreciative,adjective,B2,minnettar,She was very appreciative of their support.,Desteklerinden çok memnun kaldı.
approach,noun,B1,yaklaşım,His approach to the problem was unique.,Soruna yaklaşımı benzersizdi.
approach,verb,B2,yaklaşmak,As I approached the building it started to rain.,Binaya yaklaştıkça yağmur başladı.
appropriate,adjective,A2,uygun,Please wear appropriate clothing for the event.,Lütfen etkinlik için uygun kıyafet giyin.
appropriately,adverb,B2,uygun şekilde,She responded appropriately to the situation.,Duruma uygun bir şekilde cevap verdi.
approval,noun,B1,onay,He sought approval from his manager.,Yöneticisinden onay istedi.
approve,verb,B1,onaylamak,The committee approved the proposal.,Komite teklifi onayladı.
approximate,adjective,B2,yaklaşık,The approximate cost is $500.,Yaklaşık maliyet 500 dolardır.
approximately,adverb,B1,yaklaşık olarak,The event starts in approximately 10 minutes.,Etkinlik yaklaşık 10 dakika içinde başlayacak.
April,noun,A1,Nisan,Her birthday is in April.,Onun doğum günü Nisan ayındadır.
apron,noun,A1,önlük,The chef wore a clean apron.,Şef temiz bir önlük giydi.
arch,noun,B2,kemer,They walked under the ancient arch.,Antik kemerin altından yürüdüler.
archaeologist,noun,B2,arkeolog,An archaeologist discovered ancient ruins.,Bir arkeolog antik kalıntıları keşfetti.
architect,noun,B1,mimar,He is a renowned architect in the city.,O şehirde ünlü bir mimardır.
architecture,noun,A2,mimari,She studied architecture in college.,Üniversitede mimarlık okudu.
arctic,adjective,B2,arktik,The arctic region is very cold.,Arktik bölge çok soğuktur.
are,be verb,A1,öyle,They are happy to be here.,Burada olmaktan mutlular.
area,noun,A2,alan,This area is designated for parking.,Bu alan park yeri olarak belirlenmiştir.
arena,noun,B2,arena,The concert was held in a large arena.,Konser büyük bir arenada yapıldı.
argue,verb,A2,tartışmak,They often argue about politics.,Sık sık siyaset hakkında tartışırlar.
argument,noun,A2,tartışma,They had a heated argument last night.,Dün gece hararetli bir tartışma yaşadılar.
arise,verb,B1,ortaya çıkmak,Several issues arose during the discussion.,Tartışma sırasında birkaç sorun ortaya çıktı.
aristocracy,noun,B2,aristokrasi,The aristocracy played a large role in history.,Aristokrasi tarihte büyük bir rol oynadı.
arithmetic,noun,B1,aritmetik,Arithmetic is the foundation of mathematics.,Aritmetik matematiğin temelidir.
arm,noun,A1,kol,He hurt his arm while playing sports.,Spor yaparken kolunu incitti.
arm,verb,B1,silahlandırmak,They planned to arm the guards.,Gardiyanları silahlandırmayı planladılar.
armchair,noun,A2,koltuk,She sat comfortably in the armchair.,Koltukta rahatça oturdu.
armed,adjective,A2,silahlı,The soldiers were heavily armed.,Askerler ağır silahlarla donatılmıştı.
armful,noun,B2,kucak dolusu,She carried an armful of books.,Bir kol dolusu kitap taşıdı.
army,noun,B1,ordu,He joined the army after high school.,Liseden sonra orduya katıldı.
around,adverb,A2,etrafında,They gathered around the table.,Masanın etrafında toplandılar.
around,preposition,A1,etrafında,She wrapped a scarf around her neck.,Boynuna bir atkı sardı.
arouse,verb,B2,uyandırmak,The movie aroused a lot of curiosity.,Film büyük bir merak uyandırdı.
arrange,verb,B1,düzenlemek,She arranged the books by color.,Kitapları renge göre düzenledi.
arrangement,noun,B1,düzenleme,They made all the necessary arrangements.,Tüm gerekli düzenlemeleri yaptılar.
arrest,noun,B1,tutuklama,The arrest of the suspect was on the news.,Şüphelinin tutuklanması haberlerdeydi.
arrest,verb,B1,tutuklamak,The police will arrest the criminal.,Polis suçluyu tutuklayacak.
arrival,noun,B1,varış,The arrival of the train was delayed.,Trenin varışı gecikti.
arrive,verb,A1,varmak,They arrived at the airport early.,Havaalanına erken geldiler.
arrogant,adjective,B2,kibirli,His arrogant attitude annoyed everyone.,Kibirli tavrı herkesi rahatsız etti.
arrow,noun,B1,ok,He drew an arrow on the map to show directions.,Yönleri göstermek için haritaya bir ok çizdi.
art,noun,A1,sanat,She is passionate about art.,Sanata tutkulu.
artery,noun,B2,arter,The doctor checked his artery for any blockages.,Doktor damarında tıkanıklık olup olmadığını kontrol etti.
article,noun,A1,makale,I read an interesting article online.,İnternette ilginç bir makale okudum.
articulate,verb,B2,ifade etmek,He is known for his ability to articulate ideas.,Fikirlerini ifade etme yeteneğiyle tanınır.
artificial,adjective,A2,yapay,The flowers are made of artificial materials.,Çiçekler yapay malzemelerden yapılmıştır.
artificially,adverb,B2,yapay olarak,The scene was artificially enhanced in the film.,Filmde sahne yapay olarak geliştirildi.
artist,noun,B1,sanatçı,The artist painted a beautiful landscape.,Sanatçı güzel bir manzara resmi çizdi.
artistic,adjective,B1,sanatsal,She has an artistic talent for drawing.,Çizim konusunda sanatsal bir yeteneği var.
artistry,noun,B2,sanat,The show displayed incredible artistry.,Gösteri inanılmaz bir sanatçılık sergiledi.
as,conjunction,A2,gibi,She works as a nurse.,Hemşire olarak çalışıyor.
as,preposition,A1,gibi,Hes as tall as his brother.,Kardeşi kadar uzun boylu.
ash,noun,B2,kül,The fire left a pile of ash.,Yangın bir kül yığını bıraktı.
ashamed,adjective,B1,utanmış,He felt ashamed of his behavior.,Davranışından utanç duydu.
aside,adverb,B1,bir kenara,She pushed the papers aside to make room.,Yer açmak için kağıtları kenara itti.
ask,verb,A1,sormak,Can I ask you a question?,Sana bir soru sorabilir miyim?
asleep,adjective,A2,uyuya kalmak,He was fast asleep when I called.,Aradığımda derin uykudaydı.
aspect,noun,B1,bakış açısı,One important aspect of the job is communication.,İşin önemli bir yönü iletişimdir.
aspiration,noun,B2,istek,Her aspiration is to become a doctor.,Onun hedefi doktor olmaktır.
aspire,verb,B2,arzulamak,Many students aspire to achieve great things.,Birçok öğrenci büyük başarılar elde etmeyi arzular.
aspirin,noun,B1,aspirin,He took an aspirin for his headache.,Baş ağrısı için bir aspirin aldı.
assault,noun,B2,saldırı,The assault was reported to the police.,Saldırı polise bildirildi.
assemble,verb,B2,birleştirmek,They assembled the furniture quickly.,Mobilyaları hızlıca birleştirdiler.
assembly,noun,B2,toplantı,The school had a morning assembly.,Okulda sabah toplanması yapıldı.
assert,verb,B2,ileri sürmek,She asserted her opinion confidently.,Fikrini kendinden emin bir şekilde savundu.
assess,verb,B2,değerlendirmek,The manager will assess the teams performance.,Yönetici ekibin performansını değerlendirecek.
assessment,noun,B2,değerlendirme,The assessment showed positive results.,Değerlendirme olumlu sonuçlar gösterdi.
assign,verb,B1,atamak,She was assigned to a new project.,Yeni bir projeye atandı.
assignment,noun,B1,görev,The assignment is due next week.,Görev gelecek hafta teslim edilecek.
assist,verb,B1,yardım etmek,Can you assist me with this task?,Bu görevde bana yardım edebilir misin?
assistance,noun,B1,yardım,She offered her assistance with the project.,Proje ile ilgili yardım teklif etti.
assistant,adjective,A2,asistan,She works as an assistant manager.,Yardımcı müdür olarak çalışıyor.
assistant,noun,B1,asistan,The assistant helped organize the files.,Asistan dosyaların düzenlenmesine yardımcı oldu.
associate,verb,B1,ilişkilendirmek,She associates success with hard work.,Başarıyı çok çalışmayla ilişkilendiriyor.
association,noun,A2,dernek,He joined a writers association.,Bir yazarlar derneğine katıldı.
assume,verb,B1,farz etmek,I assume you will attend the meeting.,Toplantıya katılacağını varsayıyorum.
assumption,noun,B2,varsayım,That is a reasonable assumption.,Bu makul bir varsayımdır.
assurance,noun,B2,güvence,He gave his assurance that it would work.,İşe yarayacağına dair güvence verdi.
assure,verb,B2,garanti etmek,I assure you that its safe.,Sana güvence veriyorum bu güvenli.
astonish,verb,B2,şaşırtmak,The performance astonished the audience.,Performans izleyicileri hayrete düşürdü.
astonished,adjective,B2,şaşkın,He was astonished by the news.,Habere şaşırdı.
astonishing,adjective,B2,şaşırtıcı,The results were astonishing.,Sonuçlar şaşırtıcıydı.
astonishment,noun,B2,şaşkınlık,She looked at him in astonishment.,Ona şaşkınlık içinde baktı.
astronaut,noun,A2,astronot,The astronaut went on a space mission.,Astronot bir uzay görevine gitti.
astronomer,noun,B1,astronom,The astronomer studies stars and planets.,Astronom yıldızları ve gezegenleri inceler.
astronomy,noun,B2,astronomi,She has a degree in astronomy.,Astronomi alanında bir dereceye sahip.
at,preposition,A1,en,She arrives at noon every day.,Her gün öğle vakti gelir.
athlete,noun,A2,atlet,He is a professional athlete.,O profesyonel bir atlettir.
athletic,adjective,B1,atletik,She has an athletic build.,Atletik bir yapıya sahip.
athletics,noun,B2,atletizm,She enjoys watching athletics on TV.,Televizyonda atletizm izlemeyi sever.
Atlantic,adjective,B1,Atlantik,The Atlantic Ocean separates Europe and America.,Atlantik Okyanusu Avrupa ve Amerikayı ayırır.
atmosphere,noun,B1,atmosfer,The atmosphere was tense before the game.,Maçtan önce atmosfer gergindi.
atom,noun,A2,atom,Everything is made up of atoms.,Her şey atomlardan oluşur.
atomic,adjective,B1,atomik,Atomic energy is powerful.,Atom enerjisi güçlüdür.
attach,verb,B1,eklemek,Please attach the file to your email.,Lütfen dosyayı e postana ekle.
attached,adjective,B2,ekli,She is very attached to her family.,Ailesine çok bağlıdır.
attachment,noun,B1,ek,He sent the document as an attachment.,Belgeyi ek olarak gönderdi.
attack,noun,A2,saldırı,There was an attack on the city last night.,Dün gece şehre bir saldırı oldu.
attack,verb,A2,saldırmak,The dog might attack if provoked.,Köpek tahrik edilirse saldırabilir.
attain,verb,B1,ulaşmak,She worked hard to attain her goals.,Hedeflerine ulaşmak için çok çalıştı.
attainable,adjective,B2,ulaşılabilir,The target is challenging but attainable.,Hedef zorlayıcı ama ulaşılabilir.
attainment,noun,B2,ulaşma,Academic attainment is important for students.,Akademik başarı öğrenciler için önemlidir.
attempt,noun,A2,girişim,He made an attempt to learn Spanish.,İspanyolca öğrenmeye teşebbüs etti.
attempt,verb,B1,girişim yapmak,She attempted to climb the mountain.,Dağa tırmanmaya çalıştı.
attend,verb,B1,katılmak,Many people attend the conference annually.,Birçok insan konferansa her yıl katılır.
